name,team,position
石井雄太,中日ドラゴンズ,捕手
ボスラー,中日ドラゴンズ,一塁手
田中幹也,中日ドラゴンズ,二塁手
石川昂弥,中日ドラゴンズ,三塁手
村松開人,中日ドラゴンズ,遊撃手
細川成也,中日ドラゴンズ,左翼手
岡林勇希,中日ドラゴンズ,中堅手
上林誠知,中日ドラゴンズ,右翼手
髙橋宏斗,中日ドラゴンズ,投手
大城卓三,読売ジャイアンツ,捕手
岡本和真,読売ジャイアンツ,一塁手
吉川尚輝,読売ジャイアンツ,二塁手
坂本勇人,読売ジャイアンツ,三塁手
泉口友汰,読売ジャイアンツ,遊撃手
丸佳浩,読売ジャイアンツ,左翼手
キャベッジ,読売ジャイアンツ,中堅手
中山礼都,読売ジャイアンツ,右翼手
山﨑伊織,読売ジャイアンツ,投手
坂本誠志郎,阪神タイガース,捕手
大山悠輔,阪神タイガース,一塁手
中野拓夢,阪神タイガース,二塁手
佐藤輝明,阪神タイガース,三塁手
木浪聖也,阪神タイガース,遊撃手
前川右京,阪神タイガース,左翼手
近本光司,阪神タイガース,中堅手
森下翔太,阪神タイガース,右翼手
才木浩人,阪神タイガース,投手
中村悠平,東京ヤクルトスワローズ,捕手
オスナ,東京ヤクルトスワローズ,一塁手
山田哲人,東京ヤクルトスワローズ,二塁手
村上宗隆,東京ヤクルトスワローズ,三塁手
長岡秀樹,東京ヤクルトスワローズ,遊撃手
サンタナ,東京ヤクルトスワローズ,左翼手
岩田幸宏,東京ヤクルトスワローズ,中堅手
赤羽由紘,東京ヤクルトスワローズ,右翼手
小川泰弘,東京ヤクルトスワローズ,投手
山本祐大,横浜DeNAベイスターズ,捕手
オースティン,横浜DeNAベイスターズ,一塁手
牧秀悟,横浜DeNAベイスターズ,二塁手
宮﨑敏郎,横浜DeNAベイスターズ,三塁手
京田陽太,横浜DeNAベイスターズ,遊撃手
佐野恵太,横浜DeNAベイスターズ,左翼手
桑原将志,横浜DeNAベイスターズ,中堅手
蝦名達夫,横浜DeNAベイスターズ,右翼手
東克樹,横浜DeNAベイスターズ,投手
坂倉将吾,広島東洋カープ,捕手
モンテロ,広島東洋カープ,一塁手
菊池涼介,広島東洋カープ,二塁手
小園海斗,広島東洋カープ,三塁手
矢野雅哉,広島東洋カープ,遊撃手
ファビアン,広島東洋カープ,左翼手
中村奨成,広島東洋カープ,中堅手
末包昇大,広島東洋カープ,右翼手
大瀬良大地,広島東洋カープ,投手
